Time (s),Thrust (N)
0,408.3673469
0.04,1707.115441
0.08,1770.645953
0.12,1816.159446
0.16,1853.372198
0.2,1892.293383
0.24,1916.462722
0.28,2009.951705
0.32,1964.516277
0.36,1970.231442
0.4,1982.266124
0.44,1998.59416
0.48,2028.967747
0.52,2070.475306
0.56,2110.183175
0.6,2141.386416
0.64,2175.40075
0.68,2191.289263
0.72,2175.51422
0.76,2143.05294
0.8,2113.075236
0.84,2089.23127
0.88,2068.768214
0.92,2054.01675
0.96,2037.169119
1,2020.0935
1.04,2008.567888
1.08,1994.368332
1.12,1987.116774
1.16,1980.60241
1.2,1972.967179
1.24,1966.086283
1.28,1952.499348
1.32,1943.28021
1.36,1931.602114
1.4,1922.119949
1.44,1916.210068
1.48,1910.910178
1.52,1907.691811
1.56,1905.741617
1.6,1907.100618
1.64,1914.696662
1.68,1942.012761
1.72,1693.083882
1.76,881.318045